alpha,CL,CD,CM
-14.25,-0.80796,0.06504,-0.0401
-14,-0.79134,0.06344,-0.0405
-13.75,-0.7755,0.06116,-0.0408
-13.5,-0.75882,0.05928,-0.0412
-13.25,-0.7416,0.05764,-0.0417
-13,-0.7239,0.05612,-0.0424
-12.75,-0.70578,0.05472,-0.0431
-12.5,-0.68736,0.05336,-0.0439
-12.25,-0.6687,0.05216,-0.0448
-12,-0.6522,0.0508,-0.0449
-11.75,-0.6372,0.04928,-0.0445
-11.5,-0.62118,0.04804,-0.0444
-11.25,-0.60612,0.04696,-0.0439
-11,-0.59166,0.046,-0.0431
-10.75,-0.57666,0.04516,-0.0425
-10.5,-0.56166,0.04424,-0.0419
-10.25,-0.54726,0.04308,-0.0411
-10,-0.53196,0.04212,-0.0406
-9.75,-0.51672,0.04128,-0.0401
-9.5,-0.50088,0.04052,-0.0397
-9.25,-0.48504,0.03988,-0.0393
-9,-0.46944,0.03892,-0.0389
-8.75,-0.45366,0.03816,-0.0385
-8.5,-0.43752,0.03748,-0.0383
-8.25,-0.42132,0.03696,-0.038
-8,-0.40524,0.03616,-0.0377
-7.75,-0.3891,0.03556,-0.0374
-7.5,-0.37278,0.03504,-0.0372
-7.25,-0.3564,0.03456,-0.0369
-7,-0.3402,0.034,-0.0367
-6.75,-0.32376,0.0336,-0.0365
-6.5,-0.30732,0.0332,-0.0363
-6.25,-0.29106,0.03284,-0.036
-6,-0.27462,0.0326,-0.0358
-5.75,-0.25818,0.03224,-0.0356
-5.5,-0.24144,0.03192,-0.0355
-5.25,-0.2247,0.03164,-0.0354
-5,-0.20802,0.03132,-0.0353
-4.75,-0.19116,0.031,-0.0352
-4.5,-0.17436,0.03072,-0.0351
-4.25,-0.1575,0.03048,-0.0351
-4,-0.1407,0.03028,-0.035
-3.75,-0.1239,0.03004,-0.0349
-3.25,-0.09006,0.02964,-0.0349
-3,-0.0732,0.02944,-0.0348
-2.75,-0.05628,0.02936,-0.0348
-2.5,-0.03954,0.02924,-0.0347
-2.25,-0.0228,0.02912,-0.0346
-2,-0.00594,0.02896,-0.0346
-1.75,0.01086,0.02876,-0.0345
-1.5,0.02754,0.02856,-0.0344
-1,0.05832,0.0264,-0.0337
-0.75,0.07446,0.02592,-0.0335
-0.5,0.0909,0.02568,-0.0334
-0.25,0.10752,0.02548,-0.0333
0,0.1242,0.02548,-0.0332
0.25,0.14082,0.02552,-0.0331
0.5,0.1575,0.02552,-0.0331
0.75,0.1743,0.02556,-0.033
1,0.19092,0.02564,-0.033
1.25,0.2076,0.02572,-0.0329
1.5,0.22452,0.02576,-0.0329
1.75,0.24114,0.02596,-0.0328
2,0.258,0.02592,-0.0328
2.25,0.27456,0.02604,-0.0327
2.5,0.2913,0.02596,-0.0326
2.75,0.30798,0.02596,-0.0326
3,0.32472,0.0262,-0.0325
3.25,0.34158,0.02636,-0.0325
3.5,0.35856,0.02644,-0.0325
3.75,0.37536,0.0266,-0.0324
4,0.39204,0.02684,-0.0324
4.25,0.40866,0.02716,-0.0323
4.5,0.42546,0.02736,-0.0322
4.75,0.4422,0.02748,-0.0321
5,0.45882,0.02768,-0.032
5.25,0.47532,0.028,-0.0319
5.5,0.49164,0.02836,-0.0317
5.75,0.50754,0.0288,-0.0313
6,0.52362,0.02928,-0.0311
6.25,0.53976,0.02952,-0.0308
6.5,0.55614,0.02984,-0.0306
6.75,0.57228,0.03024,-0.0304
7,0.5889,0.03072,-0.0303
7.25,0.60648,0.0314,-0.0307
7.5,0.62334,0.03192,-0.0308
7.75,0.64278,0.03236,-0.0319
8,0.66276,0.03296,-0.0332
8.25,0.6822,0.0338,-0.0343
8.5,0.70188,0.03444,-0.0355
8.75,0.72102,0.03528,-0.0366
9,0.73992,0.03616,-0.0376
9.25,0.75864,0.03708,-0.0386
9.5,0.77706,0.03816,-0.0394
9.75,0.79086,0.03916,-0.0387
10,0.8013,0.04004,-0.0367
10.25,0.81156,0.04116,-0.0347
10.5,0.82296,0.04216,-0.0331
10.75,0.83388,0.04356,-0.0315
11,0.84582,0.04484,-0.0302
11.25,0.858,0.0462,-0.029
11.5,0.86928,0.04784,-0.0276
11.75,0.88044,0.04948,-0.0262
12,0.891,0.05092,-0.0245
12.25,0.90024,0.05272,-0.0226
12.5,0.90972,0.0546,-0.0208
12.75,0.9198,0.0564,-0.0192
13,0.92886,0.05856,-0.0175
13.25,0.93888,0.06052,-0.016
13.5,0.94788,0.0628,-0.0144
13.75,0.95652,0.06528,-0.0128
14,0.96564,0.06772,-0.0114
14.25,0.97374,0.07048,-0.0098
14.5,0.9822,0.07328,-0.0084
14.75,0.99018,0.07636,-0.007
15,0.99738,0.07976,-0.0056
