alpha,CL,CD,CM
-14.25,-1.3466,0.01626,-0.0401
-14,-1.3189,0.01586,-0.0405
-13.75,-1.2925,0.01529,-0.0408
-13.5,-1.2647,0.01482,-0.0412
-13.25,-1.236,0.01441,-0.0417
-13,-1.2065,0.01403,-0.0424
-12.75,-1.1763,0.01368,-0.0431
-12.5,-1.1456,0.01334,-0.0439
-12.25,-1.1145,0.01304,-0.0448
-12,-1.087,0.0127,-0.0449
-11.75,-1.062,0.01232,-0.0445
-11.5,-1.0353,0.01201,-0.0444
-11.25,-1.0102,0.01174,-0.0439
-11,-0.9861,0.0115,-0.0431
-10.75,-0.9611,0.01129,-0.0425
-10.5,-0.9361,0.01106,-0.0419
-10.25,-0.9121,0.01077,-0.0411
-10,-0.8866,0.01053,-0.0406
-9.75,-0.8612,0.01032,-0.0401
-9.5,-0.8348,0.01013,-0.0397
-9.25,-0.8084,0.00997,-0.0393
-9,-0.7824,0.00973,-0.0389
-8.75,-0.7561,0.00954,-0.0385
-8.5,-0.7292,0.00937,-0.0383
-8.25,-0.7022,0.00924,-0.038
-8,-0.6754,0.00904,-0.0377
-7.75,-0.6485,0.00889,-0.0374
-7.5,-0.6213,0.00876,-0.0372
-7.25,-0.594,0.00864,-0.0369
-7,-0.567,0.0085,-0.0367
-6.75,-0.5396,0.0084,-0.0365
-6.5,-0.5122,0.0083,-0.0363
-6.25,-0.4851,0.00821,-0.036
-6,-0.4577,0.00815,-0.0358
-5.75,-0.4303,0.00806,-0.0356
-5.5,-0.4024,0.00798,-0.0355
-5.25,-0.3745,0.00791,-0.0354
-5,-0.3467,0.00783,-0.0353
-4.75,-0.3186,0.00775,-0.0352
-4.5,-0.2906,0.00768,-0.0351
-4.25,-0.2625,0.00762,-0.0351
-4,-0.2345,0.00757,-0.035
-3.75,-0.2065,0.00751,-0.0349
-3.25,-0.1501,0.00741,-0.0349
-3,-0.122,0.00736,-0.0348
-2.75,-0.0938,0.00734,-0.0348
-2.5,-0.0659,0.00731,-0.0347
-2.25,-0.038,0.00728,-0.0346
-2,-0.0099,0.00724,-0.0346
-1.75,0.0181,0.00719,-0.0345
-1.5,0.0459,0.00714,-0.0344
-1,0.0972,0.0066,-0.0337
-0.75,0.1241,0.00648,-0.0335
-0.5,0.1515,0.00642,-0.0334
-0.25,0.1792,0.00637,-0.0333
0,0.207,0.00637,-0.0332
0.25,0.2347,0.00638,-0.0331
0.5,0.2625,0.00638,-0.0331
0.75,0.2905,0.00639,-0.033
1,0.3182,0.00641,-0.033
1.25,0.346,0.00643,-0.0329
1.5,0.3742,0.00644,-0.0329
1.75,0.4019,0.00649,-0.0328
2,0.43,0.00648,-0.0328
2.25,0.4576,0.00651,-0.0327
2.5,0.4855,0.00649,-0.0326
2.75,0.5133,0.00649,-0.0326
3,0.5412,0.00655,-0.0325
3.25,0.5693,0.00659,-0.0325
3.5,0.5976,0.00661,-0.0325
3.75,0.6256,0.00665,-0.0324
4,0.6534,0.00671,-0.0324
4.25,0.6811,0.00679,-0.0323
4.5,0.7091,0.00684,-0.0322
4.75,0.737,0.00687,-0.0321
5,0.7647,0.00692,-0.032
5.25,0.7922,0.007,-0.0319
5.5,0.8194,0.00709,-0.0317
5.75,0.8459,0.0072,-0.0313
6,0.8727,0.00732,-0.0311
6.25,0.8996,0.00738,-0.0308
6.5,0.9269,0.00746,-0.0306
6.75,0.9538,0.00756,-0.0304
7,0.9815,0.00768,-0.0303
7.25,1.0108,0.00785,-0.0307
7.5,1.0389,0.00798,-0.0308
7.75,1.0713,0.00809,-0.0319
8,1.1046,0.00824,-0.0332
8.25,1.137,0.00845,-0.0343
8.5,1.1698,0.00861,-0.0355
8.75,1.2017,0.00882,-0.0366
9,1.2332,0.00904,-0.0376
9.25,1.2644,0.00927,-0.0386
9.5,1.2951,0.00954,-0.0394
9.75,1.3181,0.00979,-0.0387
10,1.3355,0.01001,-0.0367
10.25,1.3526,0.01029,-0.0347
10.5,1.3716,0.01054,-0.0331
10.75,1.3898,0.01089,-0.0315
11,1.4097,0.01121,-0.0302
11.25,1.43,0.01155,-0.029
11.5,1.4488,0.01196,-0.0276
11.75,1.4674,0.01237,-0.0262
12,1.485,0.01273,-0.0245
12.25,1.5004,0.01318,-0.0226
12.5,1.5162,0.01365,-0.0208
12.75,1.533,0.0141,-0.0192
13,1.5481,0.01464,-0.0175
13.25,1.5648,0.01513,-0.016
13.5,1.5798,0.0157,-0.0144
13.75,1.5942,0.01632,-0.0128
14,1.6094,0.01693,-0.0114
14.25,1.6229,0.01762,-0.0098
14.5,1.637,0.01832,-0.0084
14.75,1.6503,0.01909,-0.007
15,1.6623,0.01994,-0.0056
