  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 2216                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.250  -1.3466   0.01626   0.01154  -0.0401   0.9997   0.0192
 -14.000  -1.3189   0.01586   0.01112  -0.0405   0.9989   0.0193
 -13.750  -1.2925   0.01529   0.01053  -0.0408   0.9978   0.0200
 -13.500  -1.2647   0.01482   0.01005  -0.0412   0.9966   0.0205
 -13.250  -1.2360   0.01441   0.00964  -0.0417   0.9954   0.0209
 -13.000  -1.2065   0.01403   0.00926  -0.0424   0.9943   0.0213
 -12.750  -1.1763   0.01368   0.00890  -0.0431   0.9933   0.0217
 -12.500  -1.1456   0.01334   0.00856  -0.0439   0.9924   0.0220
 -12.250  -1.1145   0.01304   0.00824  -0.0448   0.9913   0.0223
 -12.000  -1.0870   0.01270   0.00789  -0.0449   0.9887   0.0227
 -11.750  -1.0620   0.01232   0.00751  -0.0445   0.9845   0.0234
 -11.500  -1.0353   0.01201   0.00720  -0.0444   0.9806   0.0241
 -11.250  -1.0102   0.01174   0.00693  -0.0439   0.9759   0.0246
 -11.000  -0.9861   0.01150   0.00668  -0.0431   0.9698   0.0252
 -10.750  -0.9611   0.01129   0.00644  -0.0425   0.9642   0.0255
 -10.500  -0.9361   0.01106   0.00621  -0.0419   0.9579   0.0259
 -10.250  -0.9121   0.01077   0.00590  -0.0411   0.9507   0.0269
 -10.000  -0.8866   0.01053   0.00565  -0.0406   0.9442   0.0277
  -9.750  -0.8612   0.01032   0.00542  -0.0401   0.9362   0.0284
  -9.500  -0.8348   0.01013   0.00522  -0.0397   0.9291   0.0290
  -9.250  -0.8084   0.00997   0.00502  -0.0393   0.9203   0.0294
  -9.000  -0.7824   0.00973   0.00477  -0.0389   0.9121   0.0307
  -8.750  -0.7561   0.00954   0.00456  -0.0385   0.9023   0.0318
  -8.500  -0.7292   0.00937   0.00438  -0.0383   0.8933   0.0327
  -8.250  -0.7022   0.00924   0.00421  -0.0380   0.8820   0.0333
  -8.000  -0.6754   0.00904   0.00400  -0.0377   0.8720   0.0348
  -7.750  -0.6485   0.00889   0.00382  -0.0374   0.8604   0.0360
  -7.500  -0.6213   0.00876   0.00366  -0.0372   0.8468   0.0371
  -7.250  -0.5940   0.00864   0.00349  -0.0369   0.8321   0.0384
  -7.000  -0.5670   0.00850   0.00333  -0.0367   0.8161   0.0403
  -6.750  -0.5396   0.00840   0.00319  -0.0365   0.8009   0.0417
  -6.500  -0.5122   0.00830   0.00304  -0.0363   0.7831   0.0433
  -6.250  -0.4851   0.00821   0.00290  -0.0360   0.7609   0.0454
  -6.000  -0.4577   0.00815   0.00278  -0.0358   0.7377   0.0470
  -5.750  -0.4303   0.00806   0.00265  -0.0356   0.7184   0.0498
  -5.500  -0.4024   0.00798   0.00254  -0.0355   0.7040   0.0521
  -5.250  -0.3745   0.00791   0.00243  -0.0354   0.6889   0.0547
  -5.000  -0.3467   0.00783   0.00233  -0.0353   0.6734   0.0577
  -4.750  -0.3186   0.00775   0.00223  -0.0352   0.6589   0.0608
  -4.500  -0.2906   0.00768   0.00214  -0.0351   0.6443   0.0646
  -4.250  -0.2625   0.00762   0.00205  -0.0351   0.6290   0.0684
  -4.000  -0.2345   0.00757   0.00197  -0.0350   0.6132   0.0726
  -3.750  -0.2065   0.00751   0.00189  -0.0349   0.5975   0.0780
  -3.250  -0.1501   0.00741   0.00176  -0.0349   0.5680   0.0892
  -3.000  -0.1220   0.00736   0.00170  -0.0348   0.5527   0.0965
  -2.750  -0.0938   0.00734   0.00165  -0.0348   0.5364   0.1030
  -2.500  -0.0659   0.00731   0.00160  -0.0347   0.5188   0.1124
  -2.250  -0.0380   0.00728   0.00155  -0.0346   0.5016   0.1234
  -2.000  -0.0099   0.00724   0.00151  -0.0346   0.4864   0.1355
  -1.750   0.0181   0.00719   0.00147  -0.0345   0.4718   0.1515
  -1.500   0.0459   0.00714   0.00144  -0.0344   0.4570   0.1710
  -1.000   0.0972   0.00660   0.00128  -0.0337   0.4261   0.3209
  -0.750   0.1241   0.00648   0.00126  -0.0335   0.4102   0.3684
  -0.500   0.1515   0.00642   0.00125  -0.0334   0.3949   0.4060
  -0.250   0.1792   0.00637   0.00125  -0.0333   0.3807   0.4362
   0.000   0.2070   0.00637   0.00127  -0.0332   0.3668   0.4631
   0.250   0.2347   0.00638   0.00129  -0.0331   0.3522   0.4881
   0.500   0.2625   0.00638   0.00132  -0.0331   0.3392   0.5137
   0.750   0.2905   0.00639   0.00135  -0.0330   0.3263   0.5393
   1.000   0.3182   0.00641   0.00139  -0.0330   0.3140   0.5658
   1.250   0.3460   0.00643   0.00143  -0.0329   0.3024   0.5909
   1.500   0.3742   0.00644   0.00147  -0.0329   0.2943   0.6138
   1.750   0.4019   0.00649   0.00153  -0.0328   0.2832   0.6376
   2.000   0.4300   0.00648   0.00157  -0.0328   0.2769   0.6660
   2.250   0.4576   0.00651   0.00163  -0.0327   0.2690   0.6940
   2.500   0.4855   0.00649   0.00169  -0.0326   0.2636   0.7251
   2.750   0.5133   0.00649   0.00175  -0.0326   0.2591   0.7550
   3.000   0.5412   0.00655   0.00182  -0.0325   0.2530   0.7750
   3.250   0.5693   0.00659   0.00189  -0.0325   0.2481   0.7930
   3.500   0.5976   0.00661   0.00196  -0.0325   0.2459   0.8111
   3.750   0.6256   0.00665   0.00203  -0.0324   0.2428   0.8286
   4.000   0.6534   0.00671   0.00211  -0.0324   0.2392   0.8453
   4.250   0.6811   0.00679   0.00221  -0.0323   0.2345   0.8616
   4.500   0.7091   0.00684   0.00229  -0.0322   0.2319   0.8769
   4.750   0.7370   0.00687   0.00237  -0.0321   0.2308   0.8927
   5.000   0.7647   0.00692   0.00246  -0.0320   0.2290   0.9065
   5.250   0.7922   0.00700   0.00255  -0.0319   0.2266   0.9190
   5.500   0.8194   0.00709   0.00265  -0.0317   0.2238   0.9308
   5.750   0.8459   0.00720   0.00277  -0.0313   0.2200   0.9418
   6.000   0.8727   0.00732   0.00288  -0.0311   0.2165   0.9511
   6.250   0.8996   0.00738   0.00297  -0.0308   0.2157   0.9604
   6.500   0.9269   0.00746   0.00306  -0.0306   0.2143   0.9676
   6.750   0.9538   0.00756   0.00317  -0.0304   0.2120   0.9749
   7.000   0.9815   0.00768   0.00328  -0.0303   0.2088   0.9804
   7.250   1.0108   0.00785   0.00342  -0.0307   0.2043   0.9850
   7.500   1.0389   0.00798   0.00354  -0.0308   0.2010   0.9896
   7.750   1.0713   0.00809   0.00365  -0.0319   0.1990   0.9916
   8.000   1.1046   0.00824   0.00379  -0.0332   0.1950   0.9928
   8.250   1.1370   0.00845   0.00395  -0.0343   0.1884   0.9939
   8.500   1.1698   0.00861   0.00410  -0.0355   0.1847   0.9951
   8.750   1.2017   0.00882   0.00427  -0.0366   0.1786   0.9964
   9.000   1.2332   0.00904   0.00446  -0.0376   0.1721   0.9977
   9.250   1.2644   0.00927   0.00465  -0.0386   0.1659   0.9988
   9.500   1.2951   0.00954   0.00487  -0.0394   0.1586   0.9997
   9.750   1.3181   0.00979   0.00509  -0.0387   0.1518   1.0000
  10.000   1.3355   0.01001   0.00528  -0.0367   0.1456   1.0000
  10.250   1.3526   0.01029   0.00552  -0.0347   0.1382   1.0000
  10.500   1.3716   0.01054   0.00574  -0.0331   0.1319   1.0000
  10.750   1.3898   0.01089   0.00604  -0.0315   0.1235   1.0000
  11.000   1.4097   0.01121   0.00632  -0.0302   0.1166   1.0000
  11.250   1.4300   0.01155   0.00662  -0.0290   0.1100   1.0000
  11.500   1.4488   0.01196   0.00699  -0.0276   0.1020   1.0000
  11.750   1.4674   0.01237   0.00735  -0.0262   0.0954   1.0000
  12.000   1.4850   0.01273   0.00769  -0.0245   0.0897   1.0000
  12.250   1.5004   0.01318   0.00811  -0.0226   0.0835   1.0000
  12.500   1.5162   0.01365   0.00854  -0.0208   0.0779   1.0000
  12.750   1.5330   0.01410   0.00897  -0.0192   0.0732   1.0000
  13.000   1.5481   0.01464   0.00949  -0.0175   0.0681   1.0000
  13.250   1.5648   0.01513   0.00997  -0.0160   0.0645   1.0000
  13.500   1.5798   0.01570   0.01053  -0.0144   0.0605   1.0000
  13.750   1.5942   0.01632   0.01114  -0.0128   0.0566   1.0000
  14.000   1.6094   0.01693   0.01174  -0.0114   0.0536   1.0000
  14.250   1.6229   0.01762   0.01243  -0.0098   0.0506   1.0000
  14.500   1.6370   0.01832   0.01313  -0.0084   0.0482   1.0000
  14.750   1.6503   0.01909   0.01390  -0.0070   0.0457   1.0000
  15.000   1.6623   0.01994   0.01477  -0.0056   0.0434   1.0000
